startingPos,shopList
"[410, 57]","[[93, np.int64(301), np.int64(220), 'Bar_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [90, np.int64(251), np.int64(150), 'Shop_2'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [96, np.int64(200), np.int64(478), 'Shop_1'], [84, np.int64(438), np.int64(570), 'Exit_5']]"
"[516, 25]","[[89, np.int64(200), np.int64(6), 'Hotel'], [90, np.int64(251), np.int64(150), 'Shop_2'], [95, np.int64(378), np.int64(350), 'Polizei'], [92, np.int64(300), np.int64(52), 'Bar_2'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [81, np.int64(1), np.int64(275), 'Exit_8']]"
"[23, 301]","[[97, np.int64(375), np.int64(585), 'Rathaus'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [92, np.int64(300), np.int64(52), 'Bar_2'], [93, np.int64(301), np.int64(220), 'Bar_1'], [96, np.int64(200), np.int64(478), 'Shop_1'], [86, np.int64(438), np.int64(285), 'Exit_3']]"
"[3, 246]","[[95, np.int64(378), np.int64(350), 'Polizei'], [98, np.int64(110), np.int64(618), 'Kirche'], [89, np.int64(200), np.int64(6), 'Hotel'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [92, np.int64(300), np.int64(52), 'Bar_2'], [85, np.int64(438), np.int64(430), 'Exit_4']]"
"[123, 14]","[[93, np.int64(301), np.int64(220), 'Bar_1'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [92, np.int64(300), np.int64(52), 'Bar_2'], [85, np.int64(438), np.int64(430), 'Exit_4']]"
"[390, 365]","[[93, np.int64(301), np.int64(220), 'Bar_1'], [97, np.int64(375), np.int64(585), 'Rathaus'], [96, np.int64(200), np.int64(478), 'Shop_1'], [95, np.int64(378), np.int64(350), 'Polizei'], [89, np.int64(200), np.int64(6), 'Hotel'], [87, np.int64(438), np.int64(150), 'Exit_2']]"
"[351, 214]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [89, np.int64(200), np.int64(6), 'Hotel'], [93, np.int64(301), np.int64(220), 'Bar_1'], [96, np.int64(200), np.int64(478), 'Shop_1'], [98, np.int64(110), np.int64(618), 'Kirche'], [84, np.int64(438), np.int64(570), 'Exit_5']]"
"[508, 414]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [98, np.int64(110), np.int64(618), 'Kirche'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [92, np.int64(300), np.int64(52), 'Bar_2'], [88, np.int64(100), np.int64(1), 'Exit_1']]"
"[518, 50]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [97, np.int64(375), np.int64(585), 'Rathaus'], [96, np.int64(200), np.int64(478), 'Shop_1'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [92, np.int64(300), np.int64(52), 'Bar_2'], [84, np.int64(438), np.int64(570), 'Exit_5']]"
"[500, 326]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [97, np.int64(375), np.int64(585), 'Rathaus'], [93, np.int64(301), np.int64(220), 'Bar_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [87, np.int64(438), np.int64(150), 'Exit_2']]"
"[110, 245]","[[97, np.int64(375), np.int64(585), 'Rathaus'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [92, np.int64(300), np.int64(52), 'Bar_2'], [96, np.int64(200), np.int64(478), 'Shop_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [87, np.int64(438), np.int64(150), 'Exit_2']]"
"[192, 285]","[[92, np.int64(300), np.int64(52), 'Bar_2'], [95, np.int64(378), np.int64(350), 'Polizei'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [93, np.int64(301), np.int64(220), 'Bar_1'], [96, np.int64(200), np.int64(478), 'Shop_1'], [82, np.int64(85), np.int64(630), 'Exit_7']]"
"[246, 432]","[[95, np.int64(378), np.int64(350), 'Polizei'], [89, np.int64(200), np.int64(6), 'Hotel'], [97, np.int64(375), np.int64(585), 'Rathaus'], [92, np.int64(300), np.int64(52), 'Bar_2'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [84, np.int64(438), np.int64(570), 'Exit_5']]"
"[138, 251]","[[95, np.int64(378), np.int64(350), 'Polizei'], [89, np.int64(200), np.int64(6), 'Hotel'], [93, np.int64(301), np.int64(220), 'Bar_1'], [97, np.int64(375), np.int64(585), 'Rathaus'], [90, np.int64(251), np.int64(150), 'Shop_2'], [83, np.int64(180), np.int64(630), 'Exit_6']]"
"[514, 417]","[[89, np.int64(200), np.int64(6), 'Hotel'], [93, np.int64(301), np.int64(220), 'Bar_1'], [96, np.int64(200), np.int64(478), 'Shop_1'], [92, np.int64(300), np.int64(52), 'Bar_2'], [95, np.int64(378), np.int64(350), 'Polizei'], [82, np.int64(85), np.int64(630), 'Exit_7']]"
"[67, 367]","[[96, np.int64(200), np.int64(478), 'Shop_1'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [93, np.int64(301), np.int64(220), 'Bar_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [87, np.int64(438), np.int64(150), 'Exit_2']]"
"[451, 28]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [97, np.int64(375), np.int64(585), 'Rathaus'], [96, np.int64(200), np.int64(478), 'Shop_1'], [98, np.int64(110), np.int64(618), 'Kirche'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [83, np.int64(180), np.int64(630), 'Exit_6']]"
"[608, 142]","[[96, np.int64(200), np.int64(478), 'Shop_1'], [97, np.int64(375), np.int64(585), 'Rathaus'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [98, np.int64(110), np.int64(618), 'Kirche'], [92, np.int64(300), np.int64(52), 'Bar_2'], [81, np.int64(1), np.int64(275), 'Exit_8']]"
"[625, 222]","[[97, np.int64(375), np.int64(585), 'Rathaus'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [93, np.int64(301), np.int64(220), 'Bar_1'], [96, np.int64(200), np.int64(478), 'Shop_1'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [85, np.int64(438), np.int64(430), 'Exit_4']]"
"[438, 40]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [92, np.int64(300), np.int64(52), 'Bar_2'], [98, np.int64(110), np.int64(618), 'Kirche'], [96, np.int64(200), np.int64(478), 'Shop_1'], [95, np.int64(378), np.int64(350), 'Polizei'], [84, np.int64(438), np.int64(570), 'Exit_5']]"
"[415, 137]","[[90, np.int64(251), np.int64(150), 'Shop_2'], [93, np.int64(301), np.int64(220), 'Bar_1'], [98, np.int64(110), np.int64(618), 'Kirche'], [89, np.int64(200), np.int64(6), 'Hotel'], [95, np.int64(378), np.int64(350), 'Polizei'], [82, np.int64(85), np.int64(630), 'Exit_7']]"
"[46, 314]","[[97, np.int64(375), np.int64(585), 'Rathaus'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [93, np.int64(301), np.int64(220), 'Bar_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [87, np.int64(438), np.int64(150), 'Exit_2']]"
"[410, 36]","[[97, np.int64(375), np.int64(585), 'Rathaus'], [89, np.int64(200), np.int64(6), 'Hotel'], [90, np.int64(251), np.int64(150), 'Shop_2'], [96, np.int64(200), np.int64(478), 'Shop_1'], [95, np.int64(378), np.int64(350), 'Polizei'], [86, np.int64(438), np.int64(285), 'Exit_3']]"
"[237, 119]","[[94, np.int64(57), np.int64(400), 'Restaurant_1'], [95, np.int64(378), np.int64(350), 'Polizei'], [98, np.int64(110), np.int64(618), 'Kirche'], [90, np.int64(251), np.int64(150), 'Shop_2'], [93, np.int64(301), np.int64(220), 'Bar_1'], [80, np.int64(1), np.int64(140), 'Exit_9']]"
"[274, 195]","[[97, np.int64(375), np.int64(585), 'Rathaus'], [93, np.int64(301), np.int64(220), 'Bar_1'], [98, np.int64(110), np.int64(618), 'Kirche'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [96, np.int64(200), np.int64(478), 'Shop_1'], [81, np.int64(1), np.int64(275), 'Exit_8']]"
"[147, 437]","[[95, np.int64(378), np.int64(350), 'Polizei'], [96, np.int64(200), np.int64(478), 'Shop_1'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [97, np.int64(375), np.int64(585), 'Rathaus'], [89, np.int64(200), np.int64(6), 'Hotel'], [84, np.int64(438), np.int64(570), 'Exit_5']]"
"[169, 280]","[[97, np.int64(375), np.int64(585), 'Rathaus'], [96, np.int64(200), np.int64(478), 'Shop_1'], [92, np.int64(300), np.int64(52), 'Bar_2'], [89, np.int64(200), np.int64(6), 'Hotel'], [90, np.int64(251), np.int64(150), 'Shop_2'], [80, np.int64(1), np.int64(140), 'Exit_9']]"
"[107, 249]","[[96, np.int64(200), np.int64(478), 'Shop_1'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [89, np.int64(200), np.int64(6), 'Hotel'], [92, np.int64(300), np.int64(52), 'Bar_2'], [90, np.int64(251), np.int64(150), 'Shop_2'], [81, np.int64(1), np.int64(275), 'Exit_8']]"
"[626, 169]","[[93, np.int64(301), np.int64(220), 'Bar_1'], [96, np.int64(200), np.int64(478), 'Shop_1'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [90, np.int64(251), np.int64(150), 'Shop_2'], [97, np.int64(375), np.int64(585), 'Rathaus'], [83, np.int64(180), np.int64(630), 'Exit_6']]"
"[410, 231]","[[92, np.int64(300), np.int64(52), 'Bar_2'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [91, np.int64(95), np.int64(125), 'Restaurant_2'], [95, np.int64(378), np.int64(350), 'Polizei'], [96, np.int64(200), np.int64(478), 'Shop_1'], [80, np.int64(1), np.int64(140), 'Exit_9']]"
"[192, 357]","[[92, np.int64(300), np.int64(52), 'Bar_2'], [90, np.int64(251), np.int64(150), 'Shop_2'], [98, np.int64(110), np.int64(618), 'Kirche'], [97, np.int64(375), np.int64(585), 'Rathaus'], [94, np.int64(57), np.int64(400), 'Restaurant_1'], [88, np.int64(100), np.int64(1), 'Exit_1']]"
